#00)theta                     01)e_pot                      02)forces[0]                  03)forces[1]                  04)torque                     
-31                           -1073.386671876033            -9.230394226733551e-13        2.663980147588063e-13         716.1895546297997             
-30.99                        -1073.51149235373             -6.443734434924409e-13        -2.464695114667848e-14        714.1261214478747             
-30.98                        -1073.635941350949            -9.78772618509538e-13         -9.897360708777114e-13        711.9326207666624             
-30.97                        -1073.759996123227            -5.622169396701793e-13        -5.651035195342047e-13        709.6085500634556             
-30.95999999999999            -1073.883633835766            -1.342037592166889e-12        -4.487799021291039e-13        707.1533772202221             
-30.94999999999999            -1074.00683155853             -8.406608742461685e-13        -9.461875727367897e-14        704.5665434166953             
-30.93999999999999            -1074.129566261826            -2.600364368277042e-12        -2.42861286636753e-14         701.8474660068445             
-30.92999999999999            -1074.251814812399            -1.183497744250417e-12        -1.332600696457575e-12        698.9955413773044             
-30.91999999999999            -1074.373553970021            -2.464695114667848e-14        -6.205591596142312e-13        696.0101477839991             
-30.90999999999999            -1074.494760384573            -1.099564883588755e-12        -6.430966870141219e-14        692.8906481650702             
-30.89999999999998            -1074.615410593611            -1.02562403014872e-12         5.634381849972669e-14         689.6363929279271             
-30.88999999999998            -1074.735481020425            -4.120037644383956e-13        -2.069205917720751e-12        686.2467227072569             
-30.87999999999998            -1074.942546532314            -1.010524997013817e-12        -4.320710456084953e-13        695.6321183800751             
-30.86999999999998            -1075.063665023646            -9.882095142188518e-13        5.296874050486622e-13         692.2617476609637             
-30.85999999999998            -1075.184183838871            1.48991929904696e-13          -1.130595617127028e-12        688.7602426534808             
-30.84999999999998            -1075.304080041758            -7.136513602290506e-13        -1.861844012296388e-13        685.1270427075345             
-30.83999999999997            -1075.423330598631            -1.379785175004145e-12        -5.049849427507525e-13        681.3615923012488             
-30.82999999999997            -1075.541912379491            -7.127631818093505e-13        1.321165399303936e-14         677.463343592297              
-30.81999999999997            -1075.659802159578            -7.792655409843974e-13        -1.056016385447833e-12        673.4317589245396             
-30.80999999999997            -1075.776976621361            -1.13420384195706e-12         2.521316488923731e-13         669.2663132887646             
-30.79999999999997            -1075.893412356953            -6.360467708077522e-13        -1.51487156152541e-12         664.9664967349554             
-30.78999999999997            -1076.009085870955            -9.046097204645775e-13        -1.322136844450483e-13        660.5318167348426             
-30.77999999999997            -1076.123973583692            -7.369660437461789e-13        -4.028721800608537e-13        655.9618004920121             
-30.76999999999996            -1076.238051834857            -4.249933738265099e-13        -1.343425370947671e-12        651.2559971988187             
-30.75999999999996            -1076.35129688754             -5.855316231873076e-13        -9.255651800543774e-13        646.4139802373243             
