#00)dt*it                     01)e_pot                      02)pos_cm[0]                  03)pos_cm[1]                  04)Vcm[0]                     05)Vcm[1]                     06)angle                      07)omega                      08)forces[0]                  09)forces[1]                  10)torque-T                   
0                             -1995                         0                             0                             0                             0                             0                             0.5263157894736842            0                             0                             -190                          
0.1                           -1995                         0                             0                             0                             0                             0.05263157894736852           0.5263157894736842            0                             0                             -190                          
0.2                           -1995                         0                             0                             0                             0                             0.1052631578947367            0.5263157894736842            0                             0                             -190                          
0.3                           -1995                         0                             0                             0                             0                             0.1578947368421047            0.5263157894736842            0                             0                             -190                          
0.4                           -1995                         0                             0                             0                             0                             0.2105263157894728            0.5263157894736842            0                             0                             -190                          
0.5                           -1995                         0                             0                             0                             0                             0.2631578947368415            0.5263157894736842            0                             0                             -190                          
0.6                           -1995                         0                             0                             0                             0                             0.3157894736842123            0.5263157894736842            0                             0                             -190                          
0.7000000000000001            -1995                         0                             0                             0                             0                             0.3684210526315831            0.5263157894736842            0                             0                             -190                          
0.8                           -1995                         0                             0                             0                             0                             0.4210526315789539            0.5263157894736842            0                             0                             -190                          
0.9                           -1995                         0                             0                             0                             0                             0.4736842105263247            0.5263157894736842            0                             0                             -190                          
1                             -1995                         0                             0                             0                             0                             0.5263157894736955            0.5263157894736842            0                             0                             -190                          
1.1                           -1995                         0                             0                             0                             0                             0.5789473684210663            0.5263157894736842            0                             0                             -190                          
1.2                           -1995                         0                             0                             0                             0                             0.6315789473684371            0.5263157894736842            0                             0                             -190                          
1.3                           -1995                         0                             0                             0                             0                             0.6842105263158079            0.5263157894736842            0                             0                             -190                          
1.4                           -1995                         0                             0                             0                             0                             0.7368421052631787            0.5263157894736842            0                             0                             -190                          
1.5                           -1995                         0                             0                             0                             0                             0.7894736842105495            0.5263157894736842            0                             0                             -190                          
1.6                           -1995                         0                             0                             0                             0                             0.8421052631579203            0.5263157894736842            0                             0                             -190                          
1.7                           -1995                         0                             0                             0                             0                             0.8947368421052911            0.5263157894736842            0                             0                             -190                          
1.8                           -1995                         0                             0                             0                             0                             0.9473684210526619            0.5263157894736842            0                             0                             -190                          
1.9                           -1995                         0                             0                             0                             0                             1.000000000000033             0.5263157894736842            0                             0                             -190                          
2                             -1995                         0                             0                             0                             0                             1.052631578947403             0.5263157894736842            0                             0                             -190                          
2.1                           -1995                         0                             0                             0                             0                             1.105263157894774             0.5263157894736842            0                             0                             -190                          
2.2                           -1995                         0                             0                             0                             0                             1.157894736842145             0.5263157894736842            0                             0                             -190                          
2.3                           -1995                         0                             0                             0                             0                             1.210526315789516             0.5263157894736842            0                             0                             -190                          
2.4                           -1995                         0                             0                             0                             0                             1.263157894736887             0.5263157894736842            0                             0                             -190                          
2.5                           -1995                         0                             0                             0                             0                             1.315789473684257             0.5263157894736842            0                             0                             -190                          
2.6                           -1995                         0                             0                             0                             0                             1.368421052631628             0.5263157894736842            0                             0                             -190                          
2.7                           -1995                         0                             0                             0                             0                             1.421052631578999             0.5263157894736842            0                             0                             -190                          
2.8                           -1995                         0                             0                             0                             0                             1.47368421052637              0.5263157894736842            0                             0                             -190                          
2.9                           -1995                         0                             0                             0                             0                             1.526315789473741             0.5263157894736842            0                             0                             -190                          
3                             -1995                         0                             0                             0                             0                             1.578947368421111             0.5263157894736842            0                             0                             -190                          
3.1                           -1995                         0                             0                             0                             0                             1.631578947368482             0.5263157894736842            0                             0                             -190                          
3.2                           -1995                         0                             0                             0                             0                             1.684210526315853             0.5263157894736842            0                             0                             -190                          
3.3                           -1995                         0                             0                             0                             0                             1.736842105263224             0.5263157894736842            0                             0                             -190                          
3.4                           -1995                         0                             0                             0                             0                             1.789473684210595             0.5263157894736842            0                             0                             -190                          
3.5                           -1995                         0                             0                             0                             0                             1.842105263157966             0.5263157894736842            0                             0                             -190                          
3.6                           -1995                         0                             0                             0                             0                             1.894736842105336             0.5263157894736842            0                             0                             -190                          
3.7                           -1995                         0                             0                             0                             0                             1.947368421052707             0.5263157894736842            0                             0                             -190                          
3.8                           -1995                         0                             0                             0                             0                             2.000000000000078             0.5263157894736842            0                             0                             -190                          
3.9                           -1995                         0                             0                             0                             0                             2.052631578947426             0.5263157894736842            0                             0                             -190                          
