#00)theta                     01)e_pot                      02)forces[0]                  03)forces[1]                  04)torque                     
-31                           -906.5075702332839            8.867351297681125e-13         -5.011546733157957e-13        -18164.84410162977            
-30.99                        -903.3485512299573            1.090683099391754e-12         -1.013633621482768e-12        -18034.57813616809            
-30.98                        -900.2124082862764            5.317413176442187e-13         -9.627854069549358e-13        -17902.7066311336             
-30.97                        -897.0994201199501            3.346212196220222e-13         -5.95967719618784e-13         -17769.2468103093             
-30.95999999999999            -894.0098624352136            8.508194149214887e-13         -1.145750161413162e-12        -17634.21598095565            
-30.94999999999999            -890.9440079087068            5.399014568752136e-13         -1.020517004235444e-12        -17497.6315285776             
-30.93999999999999            -887.9021261762816            1.085687095780941e-12         -1.081801315194753e-12        -17359.51091173555            
-30.92999999999999            -884.8844838206934            1.885158695813516e-13         -3.819167204710538e-13        -17219.87165690404            
-30.91999999999999            -881.8913443601924            6.436517985264345e-13         -7.951417302365371e-13        -17078.73135338058            
-30.90999999999999            -878.9229682380018            9.61342117022923e-13          -6.563638521583925e-13        -16936.10764824814            
-30.89999999999998            -875.9796128126721            1.196820420545919e-12         -1.130873172883184e-12        -16792.01824139436            
-30.88999999999998            -873.0615323492868            7.448486272210175e-13         -6.779021788361206e-13        -16646.48088058972            
-30.87999999999998            -870.1689782509135            8.118505867571457e-13         -1.250111125727926e-12        -16499.51145295956            
-30.86999999999998            -867.3021984236537            4.259370633974413e-13         -1.144861982993461e-12        -16351.13162444613            
-30.85999999999998            -864.4614377126371            5.509481759702339e-13         -8.386624728018433e-13        -16201.35732312546            
-30.84999999999998            -861.6469379383481            3.930744618685367e-13         -1.108668712390681e-12        -16050.20644040553            
-30.83999999999997            -858.8589377964466            2.800537579616957e-13         -8.615330671091215e-13        -15897.69689196074            
-30.82999999999997            -856.0976728539292            8.609224444455776e-13         -1.015632022927093e-12        -15743.84661322583            
-30.81999999999997            -853.3633755460662            -2.500777362968165e-13        -5.986322548778844e-13        -15588.67355496924            
-30.80999999999997            -850.6562889043341            4.309330670082545e-13         -1.110223024625157e-12        -15432.10194332544            
-30.79999999999997            -847.976628025387             2.226552275885751e-13         -9.063860773039778e-13        -15274.3368418277             
-30.78999999999997            -845.3246133511489            4.879430193227563e-13         -1.247668635073751e-12        -15115.30276849496            
-30.77999999999997            -842.7004647908615            -2.091105066881482e-13        -1.229238932864973e-12        -14955.01769213599            
-30.76999999999996            -840.1043991180459            3.069766663088558e-13         -8.966161146872764e-13        -14793.49957594536            
-30.75999999999996            -837.5366299718318            -1.577626917992347e-13        -4.021227795192317e-13        -14630.76637359663            
-30.74999999999996            -834.9973678589474            4.29101199017623e-14          -1.112221426069482e-12        -14466.83602543031            
-30.73999999999996            -832.4868201563791            2.611799665430681e-13         -8.559819519859957e-13        -14301.72645473773            
-30.72999999999996            -830.0051911146588            4.00457444982294e-13          -1.118216630402458e-12        -14135.45556414355            
-30.71999999999996            -827.5526818617797            9.880984919163893e-15         -8.342215807033426e-13        -13968.04123208812            
-30.70999999999995            -825.1294904077208            4.020672683680004e-13         -1.468603016974157e-12        -13799.50130941176            
-30.69999999999995            -822.7358116495496            2.275957200481571e-15         -7.169820293029261e-13        -13629.85361604234            
-30.68999999999995            -820.3718373771028            5.730971253115058e-13         -1.280531236602656e-12        -13459.115937788              
-30.67999999999995            -818.0377562792098            -1.124655923945284e-13        -4.696243394164412e-13        -13287.30602323638            
-30.66999999999995            -815.7337539504553            -1.105782132526656e-13        -7.331912854624534e-13        -13114.44158076143            
-30.65999999999995            -813.4600129027785            -2.42639242031828e-13         -7.700506898800086e-13        -12940.54023864345            
-30.64999999999995            -811.2167125623093            8.754108549169359e-14         -1.365574320288943e-12        -12765.6196910617             
-30.63999999999994            -809.004029284288             -1.010302952408892e-13        -1.230793245099449e-12        -12589.69747106811            
-30.62999999999994            -806.8221363638794            1.251221348752551e-13         -1.471489596838182e-12        -12412.79109845345            
-30.61999999999994            -804.6712040431066            -1.381672554146007e-13        -1.303845920119784e-12        -12234.91803948935            
-30.60999999999994            -802.5513995203868            -2.225997164373439e-13        -1.149302875091962e-12        -12056.09570460618            
-30.59999999999994            -800.4628869604837            -3.586020369539256e-13        -1.362909785029842e-12        -11876.34144618649            
-30.58999999999994            -798.4058275048179            -3.842481888227667e-13        -8.5131901528257e-13          -11695.67255647328            
-30.57999999999993            -796.3803792821316            -2.996491943463298e-13        -1.013633621482768e-12        -11514.10626559509            
-30.56999999999993            -794.3866974195037            -3.909095269705176e-13        -6.818989817247711e-13        -11331.65973970753            
-30.55999999999993            -792.4249340536622            -4.818367926873179e-13        -1.388000825386371e-12        -11148.35007925186            
-30.54999999999993            -790.4952383425997            -1.613154054780352e-13        -1.236566404827499e-12        -10964.19431733106            
-30.53999999999993            -788.5977564774563            -7.094880238867063e-13        -1.27542421068938e-12         -10779.20941820296            
-30.52999999999993            -786.7326316951506            -6.59472476627343e-13         -9.336975637097567e-13        -10593.41226849842            
-30.51999999999992            -784.9000042901001            -4.662381591913345e-13        -1.522337811366015e-12        -10406.81970533325            
-30.50999999999992            -783.1000116258491            -2.592370762499741e-13        -8.000267115448878e-13        -10219.44847134929            
-30.49999999999992            -781.3327881497479            6.245004513516506e-14         -1.463940080270731e-12        -10031.31524270973            
-30.48999999999992            -779.5984654051006            -6.911138328291599e-13        -1.184830011879967e-12        -9842.436620962259            
-30.47999999999992            -777.8971720442694            -7.016054404118677e-13        -1.342037592166889e-12        -9652.829132236244            
-30.46999999999992            -776.2290338418912            -9.53570555850547e-13         -8.282263763703668e-13        -9462.509226555609            
-30.45999999999992            -774.59417370822              -4.89608353859694e-13         -1.438404950704353e-12        -9271.493277267897            
-30.44999999999991            -772.9927117025454            -4.528599717446014e-13        -1.459277143567306e-12        -9079.797580587478            
-30.43999999999991            -771.4247650466848            -5.930811397547586e-13        -1.100008972798605e-12        -8887.43835525362             
-30.42999999999991            -769.8904481385343            -5.783706846784753e-13        -1.318056774834986e-12        -8694.431742301249            
-30.41999999999991            -768.3898725656364            -7.412126468153701e-13        -1.000977079002041e-12        -8500.793804944564            
-30.40999999999991            -766.9231471187668            -7.940037516362963e-13        -8.730793865652231e-13        -8306.540528571653            
-30.39999999999991            -765.4903778055099            -1.093208856772776e-12        -1.270983318590879e-12        -8111.687820849391            
-30.3899999999999             -764.0916678638044            -6.661338147750939e-13        -1.251887482567327e-12        -7916.251511937357            
-30.3799999999999             -762.727117775446             -8.539835505416704e-13        -1.229683022074823e-12        -7720.247354809534            
-30.3699999999999             -761.3968252795252            -8.596456879672587e-13        -1.240785252321075e-12        -7523.691025682176            
-30.3599999999999             -760.1008853857749            -6.395439733353214e-13        -7.269740365245525e-13        -7326.59812454674             
-30.3499999999999             -758.8393903878258            -7.200628981962609e-13        -1.542765915019118e-12        -7128.984175805993            
-30.3399999999999             -757.6124298763272            -8.186784583585904e-13        -1.27897692436818e-12         -6930.864629011719            
-30.3299999999999             -756.4200907519485            -5.660749646807517e-13        -9.43245481721533e-13         -6732.254859702782            
-30.31999999999989            -755.2624572382117            -1.119104808822158e-12        -1.162625551387464e-12        -6533.170170340807            
-30.30999999999989            -754.1396108941591            -1.497579837916874e-12        -8.957279362675763e-13        -6333.625791342891            
-30.29999999999989            -753.0516306268287            -8.560652187128426e-13        -1.253663839406727e-12        -6133.636882207876            
-30.28999999999989            -751.9985927035269            -1.254690795704505e-12        -7.083222897108499e-13        -5933.218532735626            
-30.27999999999989            -750.9805707638827            -1.015548756200246e-12        -1.153299677980613e-12        -5732.385764336288            
-30.26999999999989            -749.9976358316608            -1.423028361813294e-12        -1.143529715363911e-12        -5531.153531427693            
-30.25999999999988            -749.0498563263254            -8.942846463355636e-13        -6.80788758700146e-13         -5329.536722918424            
-30.24999999999988            -748.1372980743409            -8.807399254351367e-13        -1.382449710263245e-12        -5127.55016377487             
-30.23999999999988            -747.2600243201888            -9.02777852473946e-13         -1.328714915871387e-12        -4925.208616668972            
-30.22999999999988            -746.4180957370866            -7.271960811294775e-13        -1.262989712813578e-12        -4722.526783705006            
-30.21999999999988            -745.611570437406             -1.117494985436451e-12        -1.287414619355332e-12        -4519.519308222675            
-30.20999999999988            -744.8405039827684            -1.222605350292838e-12        -7.718270467194088e-13        -4316.200776673457            
-30.19999999999987            -744.1049493938011            -1.175615160775578e-12        -9.849898674474389e-13        -4112.585720568663            
-30.18999999999987            -743.4049571595513            -7.889106035108284e-13        -1.430411344927052e-12        -3908.688618495133            
-30.17999999999987            -742.7405752465443            -1.098857116410557e-12        -1.402433724706498e-12        -3704.523898197581            
-30.16999999999987            -742.1118491074715            -9.433426262361877e-13        -1.27853283515833e-12         -3500.105938722656            
-30.15999999999987            -741.5188216894962            -1.285693773667163e-12        -1.004085703470992e-12        -3295.44907262412             
-30.14999999999987            -740.9615334421716            -1.040473263103081e-12        -1.249222947308226e-12        -3090.567588224579            
-30.13999999999987            -740.440022324962             -8.34193825127727e-13         -1.219913059458122e-12        -2885.475731931608            
-30.12999999999986            -739.954323814347             -9.091755126533485e-13        -1.054711873393899e-12        -2680.187710605398            
-30.11999999999986            -739.5044709105207            -1.138922289811717e-12        -1.764366430734299e-12        -2474.717693974344            
-30.10999999999986            -739.0904941436531            -1.382324810172975e-12        -1.311839525897085e-12        -2269.079817096212            
-30.09999999999986            -738.7124215797256            -1.393239690283821e-12        -9.139355938714289e-13        -2063.2881828611              
-30.08999999999986            -738.3702788259234            -1.207950406367786e-12        -1.56186175104267e-12         -1857.356864533846            
-30.07999999999986            -738.0640890355813            -1.452886422281807e-12        -1.096012169909955e-12        -1651.299908332125            
-30.06999999999985            -737.7938729126768            -1.326612431018503e-12        -1.611599742545877e-12        -1445.131336037161            
-30.05999999999985            -737.5596487158673            -1.282821071590945e-12        -1.461941678826406e-12        -1238.865147634291            
-30.04999999999985            -737.3614322620584            -1.392629067620277e-12        -1.049826892085548e-12        -1032.515323979599            
-30.03999999999985            -737.1992369295106            -1.489815215638401e-12        -1.509903313490213e-12        -826.0958294896742            
-30.02999999999985            -737.0730736604719            -1.346787265044114e-12        -1.376232461325344e-12        -619.6206148511483            
